promt, completion
"Who is the Principal of GNIT", "Swapan sir"
"Complete Name of GNIT", "Swapan sir"
"Complete Form of GNIT", "Swapan sir"
"Who currently holds the position of Principal at GNIT?", "Swapan sir"
"Can you tell me who the Principal of GNIT is?", "Swapan sir"
"Who is serving as the Principal of GNIT?","Swapan sir"
"Who is the head Principal at GNIT?","Swapan sir"
"Who occupies the role of Principal at GNIT?", "Swapan sir"
"Who is the current Principal of GNIT?","Swapan sir"
"Who is in charge as the Principal of GNIT?","Swapan sir"
"Who leads GNIT as the Principal?","Swapan sir"
"Who has the title of Principal at GNIT?","Swapan sir"
"Who is the acting Principal of GNIT?","Swapan sir"
"Who is the Principal of GNIT at present?","Swapan sir"
"Who is the person holding the Principal's office at GNIT?","Swapan sir"
"Who is the Principal of GNIT College?","Swapan sir"
"Who serves as the Principal of GNIT?","Swapan sir"
"Who is the top administrator at GNIT?","Swapan sir"
"Who is the chief Principal at GNIT?","Swapan sir"
"Who is the Principal leading GNIT?","Swapan sir"
"Who is the Principal of the GNIT institution?","Swapan sir"
"Who heads GNIT as Principal?","Swapan sir"
"Who is the Principal in charge of GNIT?","Swapan sir"
"Who is the Principal overseeing GNIT?","Swapan sir"
"Who holds the Principal position at GNIT?","Swapan sir"
